event_id,participant_id,condition_id,session_id,event_type,timestamp_ms,trial_id,trial_index,decision,latency_ms,ai_reco,ground_truth,follow_ai,ai_correct,cue_source,cue_modules,agent_name,agent_tone,agent_personality,agent_avatar_label,study_run_id
20000000-0000-4000-8000-000000000001,10000000-0000-4000-8000-000000000001,control,11000000-0000-4000-8000-000000000001,task_shown,1800000000000,ops_01,0,,,,,,,,,,,,,synthetic-pilot-v1
20000000-0000-4000-8000-000000000002,10000000-0000-4000-8000-000000000001,control,11000000-0000-4000-8000-000000000001,decision,1800000001200,ops_01,0,accept,1200,proceed,proceed,true,true,control,,,,,,synthetic-pilot-v1
20000000-0000-4000-8000-000000000003,10000000-0000-4000-8000-000000000001,control,11000000-0000-4000-8000-000000000001,task_shown,1800000003000,ops_02,1,,,,,,,,,,,,,synthetic-pilot-v1
20000000-0000-4000-8000-000000000004,10000000-0000-4000-8000-000000000001,control,11000000-0000-4000-8000-000000000001,decision,1800000004337,ops_02,1,override,1337,proceed,reject,false,false,control,,,,,,synthetic-pilot-v1
20000000-0000-4000-8000-000000000005,10000000-0000-4000-8000-000000000001,control,11000000-0000-4000-8000-000000000001,task_shown,1800000006000,ops_03,2,,,,,,,,,,,,,synthetic-pilot-v1
20000000-0000-4000-8000-000000000006,10000000-0000-4000-8000-000000000001,control,11000000-0000-4000-8000-000000000001,decision,1800000007474,ops_03,2,accept,1474,reject,proceed,true,false,control,,,,,,synthetic-pilot-v1
20000000-0000-4000-8000-000000000007,10000000-0000-4000-8000-000000000001,control,11000000-0000-4000-8000-000000000001,decision,1800000007874,ops_03,2,override,1874,reject,proceed,false,false,control,,,,,,synthetic-pilot-v1
20000000-0000-4000-8000-000000000008,10000000-0000-4000-8000-000000000001,control,11000000-0000-4000-8000-000000000001,task_shown,1800000009000,ops_04,3,,,,,,,,,,,,,synthetic-pilot-v1
20000000-0000-4000-8000-000000000009,10000000-0000-4000-8000-000000000001,control,11000000-0000-4000-8000-000000000001,decision,1800000010611,ops_04,3,override,1611,proceed,proceed,false,true,control,,,,,,synthetic-pilot-v1
20000000-0000-4000-8000-000000000010,10000000-0000-4000-8000-000000000001,control,11000000-0000-4000-8000-000000000001,task_shown,1800000012000,ops_05,4,,,,,,,,,,,,,synthetic-pilot-v1
20000000-0000-4000-8000-000000000011,10000000-0000-4000-8000-000000000001,control,11000000-0000-4000-8000-000000000001,decision,1800000013748,ops_05,4,accept,1748,reject,reject,true,true,control,,,,,,synthetic-pilot-v1
20000000-0000-4000-8000-000000000012,10000000-0000-4000-8000-000000000001,control,11000000-0000-4000-8000-000000000001,task_shown,1800000015000,ops_06,5,,,,,,,,,,,,,synthetic-pilot-v1
20000000-0000-4000-8000-000000000013,10000000-0000-4000-8000-000000000001,control,11000000-0000-4000-8000-000000000001,decision,1800000016885,ops_06,5,override,1885,proceed,reject,false,false,control,,,,,,synthetic-pilot-v1
20000000-0000-4000-8000-000000000014,10000000-0000-4000-8000-000000000001,control,11000000-0000-4000-8000-000000000001,task_shown,1800000018000,ops_07,6,,,,,,,,,,,,,synthetic-pilot-v1
20000000-0000-4000-8000-000000000015,10000000-0000-4000-8000-000000000001,control,11000000-0000-4000-8000-000000000001,decision,1800000020022,ops_07,6,accept,2022,reject,reject,true,true,control,,,,,,synthetic-pilot-v1
20000000-0000-4000-8000-000000000016,10000000-0000-4000-8000-000000000001,control,11000000-0000-4000-8000-000000000001,task_shown,1800000021000,ops_08,7,,,,,,,,,,,,,synthetic-pilot-v1
20000000-0000-4000-8000-000000000017,10000000-0000-4000-8000-000000000001,control,11000000-0000-4000-8000-000000000001,decision,1800000022259,ops_08,7,override,1259,reject,reject,false,true,control,,,,,,synthetic-pilot-v1
20000000-0000-4000-8000-000000000018,10000000-0000-4000-8000-000000000001,control,11000000-0000-4000-8000-000000000001,task_shown,1800000024000,ops_09,8,,,,,,,,,,,,,synthetic-pilot-v1
20000000-0000-4000-8000-000000000019,10000000-0000-4000-8000-000000000001,control,11000000-0000-4000-8000-000000000001,decision,1800000025396,ops_09,8,accept,1396,reject,proceed,true,false,control,,,,,,synthetic-pilot-v1
20000000-0000-4000-8000-000000000020,10000000-0000-4000-8000-000000000001,control,11000000-0000-4000-8000-000000000001,task_shown,1800000027000,ops_10,9,,,,,,,,,,,,,synthetic-pilot-v1
20000000-0000-4000-8000-000000000021,10000000-0000-4000-8000-000000000001,control,11000000-0000-4000-8000-000000000001,decision,1800000028533,ops_10,9,override,1533,proceed,proceed,false,true,control,,,,,,synthetic-pilot-v1
20000000-0000-4000-8000-000000000022,10000000-0000-4000-8000-000000000002,industry_set,11000000-0000-4000-8000-000000000002,task_shown,1800000100000,ops_01,0,,,,,,,,,,,,,synthetic-pilot-v1
20000000-0000-4000-8000-000000000023,10000000-0000-4000-8000-000000000002,industry_set,11000000-0000-4000-8000-000000000002,decision,1800000101283,ops_01,0,override,1283,proceed,proceed,false,true,industry_set,agent_name|tone_warmth|avatar|personality|confidence_explanation,Atlas,warm,calm,AT,synthetic-pilot-v1
20000000-0000-4000-8000-000000000024,10000000-0000-4000-8000-000000000002,industry_set,11000000-0000-4000-8000-000000000002,task_shown,1800000103000,ops_02,1,,,,,,,,,,,,,synthetic-pilot-v1
20000000-0000-4000-8000-000000000025,10000000-0000-4000-8000-000000000002,industry_set,11000000-0000-4000-8000-000000000002,decision,1800000104420,ops_02,1,accept,1420,proceed,reject,true,false,industry_set,agent_name|tone_warmth|avatar|personality|confidence_explanation,Atlas,warm,calm,AT,synthetic-pilot-v1
20000000-0000-4000-8000-000000000026,10000000-0000-4000-8000-000000000002,industry_set,11000000-0000-4000-8000-000000000002,task_shown,1800000106000,ops_03,2,,,,,,,,,,,,,synthetic-pilot-v1
20000000-0000-4000-8000-000000000027,10000000-0000-4000-8000-000000000002,industry_set,11000000-0000-4000-8000-000000000002,decision,1800000107557,ops_03,2,override,1557,reject,proceed,false,false,industry_set,agent_name|tone_warmth|avatar|personality|confidence_explanation,Atlas,warm,calm,AT,synthetic-pilot-v1
20000000-0000-4000-8000-000000000028,10000000-0000-4000-8000-000000000002,industry_set,11000000-0000-4000-8000-000000000002,task_shown,1800000109000,ops_04,3,,,,,,,,,,,,,synthetic-pilot-v1
20000000-0000-4000-8000-000000000029,10000000-0000-4000-8000-000000000002,industry_set,11000000-0000-4000-8000-000000000002,decision,1800000110694,ops_04,3,accept,1694,proceed,proceed,true,true,industry_set,agent_name|tone_warmth|avatar|personality|confidence_explanation,Atlas,warm,calm,AT,synthetic-pilot-v1
20000000-0000-4000-8000-000000000030,10000000-0000-4000-8000-000000000002,industry_set,11000000-0000-4000-8000-000000000002,task_shown,1800000112000,ops_05,4,,,,,,,,,,,,,synthetic-pilot-v1
